Time,State,FocusScore
2026-01-28 23:26:51.155447,Focused,80
2026-01-28 23:26:51.224216,Focused,80
2026-01-28 23:26:51.290950,Focused,100
2026-01-28 23:26:51.348163,Distracted,70
2026-01-28 23:26:51.415826,Tired / Stressed,50
2026-01-28 23:26:51.493228,Tired / Stressed,40
2026-01-28 23:26:51.564176,Tired / Stressed,50
2026-01-28 23:26:51.650381,Distracted,60
2026-01-28 23:26:51.724553,Distracted,60
2026-01-28 23:26:51.799530,Focused,90
2026-01-28 23:26:51.874301,Focused,90
2026-01-28 23:26:51.959909,Distracted,70
2026-01-28 23:26:52.029098,Distracted,70
2026-01-28 23:26:52.110764,Distracted,70
2026-01-28 23:26:52.195079,Distracted,70
2026-01-28 23:26:52.321065,Distracted,70
2026-01-28 23:26:52.407403,Distracted,70
2026-01-28 23:26:52.507440,Distracted,70
2026-01-28 23:26:52.562836,Distracted,70
2026-01-28 23:26:52.648324,Distracted,70
2026-01-28 23:26:52.707684,Distracted,70
2026-01-28 23:26:52.780361,Distracted,70
2026-01-28 23:26:52.879380,Distracted,70
2026-01-28 23:26:52.940927,Distracted,70
2026-01-28 23:26:53.035301,Distracted,70
2026-01-28 23:26:53.090615,Distracted,70
2026-01-28 23:26:53.174226,Distracted,70
2026-01-28 23:26:53.230429,Distracted,70
2026-01-28 23:26:53.307382,Distracted,70
2026-01-28 23:26:53.397682,Distracted,70
2026-01-28 23:26:53.507400,Distracted,70
2026-01-28 23:26:53.591939,Distracted,70
2026-01-28 23:26:53.648625,Distracted,70
2026-01-28 23:26:53.727742,Distracted,70
2026-01-28 23:26:53.790360,Distracted,70
2026-01-28 23:26:53.880840,Distracted,70
2026-01-28 23:26:53.940528,Focused,90
2026-01-28 23:26:54.011146,Focused,90
2026-01-28 23:26:54.091654,Focused,90
2026-01-28 23:26:54.167713,Distracted,70
2026-01-28 23:26:54.246562,Distracted,70
2026-01-28 23:26:54.323688,Distracted,70
2026-01-28 23:26:54.406411,Distracted,70
2026-01-28 23:26:54.459939,Focused,80
2026-01-28 23:26:54.530593,Focused,80
2026-01-28 23:26:54.597793,Focused,80
2026-01-28 23:26:54.663470,Focused,80
2026-01-28 23:26:54.757244,Distracted,70
2026-01-28 23:26:54.826307,Distracted,70
2026-01-28 23:26:54.907167,Distracted,70
2026-01-28 23:26:54.977761,Distracted,70
2026-01-28 23:26:55.048399,Distracted,70
2026-01-28 23:26:55.130974,Tired / Stressed,40
2026-01-28 23:26:55.200919,Distracted,70
2026-01-28 23:26:55.278387,Distracted,70
2026-01-28 23:26:55.349436,Distracted,70
2026-01-28 23:26:55.450489,Distracted,70
2026-01-28 23:26:55.523699,Distracted,70
2026-01-28 23:26:55.596522,Distracted,70
2026-01-28 23:26:55.679252,Focused,90
2026-01-28 23:26:55.811518,Focused,90
